what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1390226307009
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1390226307009
java.specification.version,sysinfo,,,"1.6",1390226307009
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1390226307009
java.version,sysinfo,,,"1.6.0_24",1390226307009
java.vm.info,sysinfo,,,"mixed mode",1390226307009
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1390226307009
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1390226307009
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1390226307009
java.vm.specification.version,sysinfo,,,"1.0",1390226307009
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1390226307009
java.vm.version,sysinfo,,,"19.1-b02",1390226307009
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1390226307600
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1390226307615
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1390226307630
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390226312837
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390226314634
started,bundle,org.eclipse.jet.ui,1.0.0.v200906120900,"org.eclipse.jet.ui",1390226314711
opened,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1390226314731
opened,view,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1390226315072
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1390226315091
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1390226315097
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1390226315149
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1390226315149
activated,view,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1390226316784
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1390226316789
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1390226317688
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1390226317692
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1390226318466
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1390226320327
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1390226320343
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390226320893
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390226328540
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1390226328681
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1390226328684
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390226330990
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390226393543
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390226399580
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390226437302
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390226437738
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390226439008
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390226439884
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390226456552
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390226460927
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390226611891
error,log,,,"Invalid preference page path: XML Syntax",1390226631099
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1390226631121
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1390226631126
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390226633282
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1390226650053
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1390226650185
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1390226650210
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390226650828
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1390226651656
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1390227798092
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1390227798093
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1390227798093
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1390227798093
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1390227798094
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1390227798094
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1390227798095
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1390227798095
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1390227798095
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1390227798096
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1390227798096
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1390227798096
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1390227798097
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1390227798097
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1390227798098
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1390227798098
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1390227798098
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1390227798099
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1390227798099
started,bundle,org.eclipse.emf.common,2.7.0.v20110912-0920,"org.eclipse.emf.common",1390227798099
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20110913-1156,"org.eclipse.emf.common.ui",1390227798100
started,bundle,org.eclipse.emf.ecore,2.7.0.v20110912-0920,"org.eclipse.emf.ecore",1390227798100
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20110520-1406,"org.eclipse.emf.ecore.xmi",1390227798100
started,bundle,org.eclipse.emf.edit,2.7.1.v20110913-1526,"org.eclipse.emf.edit",1390227798101
started,bundle,org.eclipse.emf.edit.ui,2.7.0.v20110913-1156,"org.eclipse.emf.edit.ui",1390227798101
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1390227798101
